drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA166163438","elbasvir / grazoprevir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA134687947","eletriptan","77993","DB00216","D01973",""
"PA166123486","eliglustat","23652731","DB09039","D09893",""
"PA166159062","elosulfase alfa","","","D10333","PubChem not found; DrugBank not found"
"PA165981594","eltrombopag","135449332","DB06210","D03978",""
"PA166182763","emapalumab","","","D11120","PubChem not found; DrugBank not found"
"PA166177484","enasidenib","89683805","DB13874","D10901",""
"PA166179872","encorafenib","50922675","DB11718","D11053",""
"PA449461","enflurane","3226","DB00228","D00543",""
"PA166182720","erdafitinib","67462786","DB12147","D10927",""
"PA166182723","eribulin","11354606","DB08871","D08914",""
"PA134687924","erlotinib","176870","DB00530","D04023",""
"PA166176008","erythromycin ethylsuccinate / sulfisoxazole acetyl","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA10074","escitalopram","146570","DB01175","D02567",""
"PA10075","esomeprazole","9568614","DB00736","D01984",""
"PA166163432","eteplirsen","","","D09900","PubChem not found; DrugBank not found"
"PA165290929","ethinyl estradiol / norelgestromin","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA164746311","everolimus","6442177","DB01590","D02714",""
"PA166160027","evolocumab","","","D10557","PubChem not found; DrugBank not found"
"PA449563","exemestane","60198","DB00990","D00963",""
"PA166184498","ezetimibe / rosuvastatin","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166184495","ezetimibe / simvastatin","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166123389","fampridine","1727","DB06637","D04127",""
"PA449594","fenofibrate","3339","DB01039","D00565",""
"PA165958376","fesoterodine","6918558","DB06702","D07226",""
"PA166153431","flibanserin","6918248","DB04908","D02577",""
"PA164781042","flucloxacillin","21319","DB00301","D01249",""
"PA449654","flucytosine","3366","DB01099","D00323",""
"PA128406956","fluorouracil","3385","DB00544","D00584",""
"PA166183787","fluorouracil / salicylic acid","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA449673","fluoxetine","3386","DB00472","D00326",""
"PA166176027","fluoxetine / olanzapine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA449683","flurbiprofen","3394","DB00712","D00330",""
"PA449685","flutamide","3397","DB00499","D00586",""
"PA449690","fluvoxamine","5324346","DB00176","D00824",""
"PA134687907","formoterol","3410","DB00983","D01373",""
"PA10084","fosamprenavir","131536","DB01319","D02497",""
"PA164746820","fosphenytoin","56339","DB01320","D02096",""
"PA164747170","fulvestrant","104741","DB00947","D01161",""
"PA449726","galantamine","9651","DB00674","D02173",""
"PA131301952","gefitinib","123631","DB00317","D01977",""
"PA166182767","gilteritinib","49803313","DB12141","D10709",""
"PA449782","glibenclamide","3488","DB01016","D00336",""
"PA10892","gliclazide","3475","DB01120","D01599",""
"PA449761","glimepiride","3476","DB00222","D00593",""
"PA449762","glipizide","3478","DB01067","D00335",""
"PA164747674","goserelin","5311128","DB00014","D00573",""
"PA449841","haloperidol","3559","DB00502","D00136",""
"PA166114929","homoharringtonine","285033","DB04865","D08956",""
"PA166176017","hydralazine / isosorbide dinitrate","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA164777036","hydroxychloroquine","3652","DB01611","D02114",""
"PA164781375","ibritumomab","92002593","","D04489","DrugBank not found"
"PA166121346","ibrutinib","24821094","DB09053","D10223",""
"PA161199368","iloperidone","71360","DB04946","D02666",""
"PA10804","imatinib","5291","DB00619","D01441",""
"PA449969","imipramine","3696","DB00458","D00394",""
"PA165958348","indacaterol","6918554","DB05039","D09318",""
"PA449977","indinavir","5362440","DB00224","D00897",""
"PA166182756","inotersen","","","D10940","PubChem not found; DrugBank not found"
"PA166177510","inotuzumab ozogamicin","","","D08933","PubChem not found; DrugBank not found"
"PA166182718","ipilimumab","","","D04603","PubChem not found; DrugBank not found"
"PA450085","irinotecan","60838","DB00762","D01061",""
"PA450106","isoflurane","3763","DB00753","D00545",""
"PA450112","isoniazid","3767","DB00951","D00346",""
"PA166176022","isoniazid / pyrazinamide / rifampin","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA450125","isosorbide dinitrate","","","D00516","PubChem not found; DrugBank not found"
"PA450126","isosorbide mononitrate","","","D00630","PubChem not found; DrugBank not found"
"PA166123415","ivabradine","132999","DB09083","D07165",""
"PA165950341","ivacaftor","16220172","DB08820","D09916",""
"PA166152935","ivacaftor / lumacaftor","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166179845","ivacaftor / tezacaftor","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166182707","ivosidenib","71657455","DB14568","D11090",""
"PA165110439","ixabepilone","6445540","DB04845","D04645",""
"PA166160048","lacosamide","219078","DB06218","D07299",""
"PA166184501","lamivudine / abacavir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA450180","lansoprazole","3883","DB00448","D00355",""
"PA152241907","lapatinib","208908","DB01259","D04024",""
"PA166182733","larotrectinib sulfate","","","D11138","PubChem not found; DrugBank not found"
"PA166163427","ledipasvir / sofosbuvir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA162363968","lenalidomide","216326","DB00480","D04687",""
"PA166160006","lesinurad","53465279","DB11560","D09921",""
"PA166184379","letermovir","45138674","DB12070","D10801",""
"PA450196","letrozole","3902","DB01006","D00964",""
"PA166176018","lidocaine / prilocaine","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166182735","lidocaine and tetracaine","","","D11553","PubChem not found; DrugBank not found"
